template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-26,2025-01-27T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00025110002025030553,0.0
2025-01-27,2025-01-27T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-27,2025-01-27T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03156220001983456,3546.0560430944233
2025-01-27,2025-01-27T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.017723700002534315,2453.001919656834
2025-01-27,2025-01-27T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.016695300000719726,0.0
2025-01-27,2025-01-28T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00023850001161918044,0.0
2025-01-28,2025-01-28T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-28,2025-01-28T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.04044330000760965,1191.9852343589107
2025-01-28,2025-01-28T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.030336099996929988,204.38972072580077
2025-01-28,2025-01-28T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.019069300004048273,0.0
2025-01-28,2025-01-29T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002896999940276146,0.0
2025-01-29,2025-01-29T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-29,2025-01-29T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.033041899994714186,4212.668526691073
2025-01-29,2025-01-29T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.017304399982094765,971.3147143349959
2025-01-29,2025-01-29T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.01063929998781532,0.0
2025-01-29,2025-01-30T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00023939998936839402,0.0
2025-01-30,2025-01-30T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-30,2025-01-30T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03455440001562238,4655.275995044172
2025-01-30,2025-01-30T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.017568600014783442,3302.7732121863487
2025-01-30,2025-01-30T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010112299991305918,0.0
2025-01-30,2025-01-31T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002496000088285655,0.0
2025-01-31,2025-01-31T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-31,2025-01-31T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.04415770000196062,2607.7327127404737
2025-01-31,2025-01-31T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0249175000062678,2324.646208675259
2025-01-31,2025-01-31T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010613999998895451,0.0
2025-01-31,2025-02-01T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002463000128045678,0.0
2025-02-01,2025-02-01T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-01,2025-02-01T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03193430000101216,0.0
2025-02-01,2025-02-01T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.035344500007340685,845.2772917613138
2025-02-01,2025-02-01T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009037399984663352,0.0
2025-02-01,2025-02-02T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003734000201802701,0.0
2025-02-02,2025-02-02T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-02,2025-02-02T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03478230000473559,483.67515438777565
2025-02-02,2025-02-02T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0188608999887947,736.0696134099128
2025-02-02,2025-02-02T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011490899982163683,0.0
2025-02-02,2025-02-03T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003136000013910234,0.0
2025-02-03,2025-02-03T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-03,2025-02-03T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.017067199980374426,8.353867599999825
2025-02-03,2025-02-03T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.023906299989903346,0.0
2025-02-03,2025-02-03T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009569799993187189,0.0
2025-02-03,2025-02-04T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002723999787122011,0.0
2025-02-04,2025-02-04T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-04,2025-02-04T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03279359999578446,0.0
2025-02-04,2025-02-04T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.02123710000887513,0.0
2025-02-04,2025-02-04T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.016836399998283014,0.0
