template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-06-26,0,69469.34401490833,69417.57557069999,51.76844420833544,83155.47574,10.046836666667105,15618.13887666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-27,0,29473.945586654,29388.189280387334,85.756306266667,45633.091219999995,43.471536666666836,25904.917556666667,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-28,0,30776.344187888662,30013.696638926995,762.6475489616678,46318.35602666666,211.17892666666702,24752.60885333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-29,0,69452.71484614366,67750.06661367866,1702.6482324650037,80945.64639666665,447.7044300000008,12125.58102666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-30,0,70213.54915285199,66910.69358301532,3302.855569836671,80273.00763,784.4632700000013,11179.786599999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-07-01,0,93831.59314145135,74836.23298010466,18995.36016134669,80851.06643333333,4621.130143333338,6605.6511766666645,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-07-02,0,94065.42948988368,68553.02435118366,25512.40513870003,74653.81675666665,5923.3227900000065,7672.373546666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-07-03,0,113251.20790198003,66092.52032150167,47158.68758047836,71590.84641333333,9863.986206666674,1694.4134199999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-07-04,0,55969.21531577301,32768.41137847633,23200.80393729668,43198.061709999994,6394.738673333337,20711.932083333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-07-05,0,55527.68318487401,32107.75293748066,23419.93024739335,43652.488413333325,6253.021210000004,21115.428923333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
