period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-09,94308.83238373211,23893.78266876543,19353.9639617,446.8372533333334,16157.12613,60714.49717072018,1108.895609396668,61823.39278011685,1200.0,1200.0,663.2569000000003,1356.3774999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-10,88358.3823,0.0,0.0,280.1869933333336,15784.945293333332,69395.215651799,1162.2732279916672,70557.48887979066,6000.0,6000.0,1236.2600000000002,1341.374999999999
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-10,92115.03890211729,22986.02446728395,18618.6798185,284.1679600000001,15178.238213333334,58434.29024976693,1182.1322802083332,59616.42252997526,1200.0,1200.0,1236.2600000000002,1341.374999999999
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-11,88613.38738333333,0.0,0.0,0.0,56094.609983333336,69815.51444326068,0.0,69815.51444326068,6000.0,6000.0,3902.7976999999996,1874.0249999999996
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-11,91143.52987193046,22753.80323823045,18430.580622966667,0.0,54301.52985666667,58205.14926433312,0.0,58205.14926433312,1200.0,1200.0,3902.7976999999996,1874.0249999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-12,56096.68699333334,0.0,0.0,165.0374633333331,25177.480256666666,41635.605758765,687.6607711999994,42323.266529964996,6000.0,6000.0,1121.3599999999997,1525.8348999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-12,49063.49318670783,14953.52893004115,12112.358433333333,165.0374633333331,15303.11595333334,29239.708297294583,687.6607711999993,29927.369068494583,1200.0,1200.0,1121.3599999999997,1525.8348999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-13,56863.69246333333,0.0,0.0,19818.078936666665,7414.051199999999,42260.608029278665,88961.91203478999,131222.52006406867,6000.0,6000.0,3652.38,1510.8000000000002
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-13,48974.44587876543,14618.000432098765,11840.58035,23241.002199999995,170.307796666665,29603.18032148005,103138.96262433333,132742.1429458134,1200.0,1200.0,3652.38,1510.8000000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-14,86470.00033666666,0.0,0.0,135.40807,14797.728906666667,68091.35794191767,443.9421355766665,68535.30007749434,6000.0,6000.0,569.5799999999999,1260.0319999999992
