period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_WEEKDAY_MILP_R0,2025-10-19,66307.2007191358,21989.077469135802,17811.15275,3402.0652166666687,1645.6173166666658,40508.05436767129,14433.809280233343,54941.86364790463,1200.0,1200.0,373.5100000000002,887.6782000000012
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-20,69552.79651666665,0.0,0.0,2015.73481666667,7127.748533333331,55256.052204834996,8628.860881058346,63884.91308589334,6000.0,6000.0,315.6300000000001,933.9005000000006
formal_output,B1_WEEKDAY_MILP_R0,2025-10-20,67805.9578440329,22282.78347736625,18049.054616666668,3181.3380833333376,2312.784266666664,41823.164222167296,12740.475525966682,54563.63974813398,1200.0,1200.0,315.6300000000001,933.9005000000006
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-21,69767.4838,0.0,0.0,1417.936033333335,4722.83833333333,55414.06075238166,5737.711395141672,61151.77214752333,6000.0,6000.0,361.35000000000036,891.9056
formal_output,B1_WEEKDAY_MILP_R0,2025-10-21,68767.0788930041,22091.505226337442,17894.11923333333,3345.5132833333346,1452.6246833333303,42274.130170658,11329.866902616672,53603.99707327467,1200.0,1200.0,361.35000000000036,891.9056
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-22,69470.86475000001,0.0,0.0,2393.7987500000017,6309.767599999997,55206.40754659999,10607.37983273334,65813.78737933333,6000.0,6000.0,410.21000000000004,701.4213
formal_output,B1_WEEKDAY_MILP_R0,2025-10-22,70217.02761893003,22172.707818930037,17959.893333333333,2439.091650000002,2888.4088833333317,42897.87158735177,10823.707817233342,53721.579404585114,1200.0,1200.0,410.21000000000004,701.4213
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-23,70221.25693333332,0.0,0.0,1238.4804833333355,8080.240416666665,56045.818773445,4921.433244100009,60967.252017545004,6000.0,6000.0,434.1477,1470.6138999999994
formal_output,B1_WEEKDAY_MILP_R0,2025-10-23,69864.71240432098,22360.66265432099,18112.13675,1803.2625333333344,4039.952033333331,43101.84439622851,7165.5811605583385,50267.425556786846,1200.0,1200.0,434.1477,1470.6138999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-24,39270.96565,0.0,0.0,1577.3978500000005,22428.3127,29180.653064446666,6407.996832558336,35588.649897005,6000.0,6000.0,403.67999999999984,924.6427999999996
formal_output,B1_WEEKDAY_MILP_R0,2025-10-24,31722.88631419753,16413.617530864198,13295.0302,1920.2822666666673,12104.530449999998,16492.01888882512,7739.292385125002,24231.311273950123,1200.0,1200.0,403.67999999999984,924.6427999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-25,39668.133316666666,0.0,0.0,1102.2466666666678,21371.94748333333,29320.04426584833,4534.7938579666725,33854.838123815,6000.0,6000.0,473.1700000000001,933.7905000000001
formal_output,B1_WEEKDAY_MILP_R0,2025-10-25,32129.1129345679,16461.2962345679,13333.649949999999,1949.961983333334,11552.99613333333,16682.977224289934,7556.480602225003,24239.45782651494,1200.0,1200.0,473.1700000000001,933.7905000000001
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-26,70389.23251666667,0.0,0.0,1051.5268666666684,6896.446983333331,55999.782208553326,4161.258050783341,60161.04025933667,6000.0,6000.0,379.78859999999986,669.5999999999995
formal_output,B1_WEEKDAY_MILP_R0,2025-10-26,69603.33807633744,22402.341893004115,18145.896933333333,1761.9216000000015,2564.5023166666642,42930.72568120362,6326.826158800006,49257.55184000362,1200.0,1200.0,379.78859999999986,669.5999999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-27,69425.96101666667,0.0,0.0,2122.988650000002,7996.367466666665,55134.71135779499,8332.59375478334,63467.30511257833,6000.0,6000.0,347.1700000000001,1321.3561999999993
formal_output,B1_WEEKDAY_MILP_R0,2025-10-27,69195.71132530863,21949.60530864197,17779.1803,2128.4662000000017,3601.1703166666653,42451.64952495203,8359.91851295834,50811.56803791037,1200.0,1200.0,347.1700000000001,1321.3561999999993
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-28,70518.6379,0.0,0.0,1529.2347166666693,6075.450116666665,55860.77523222999,6542.260338066678,62403.03557029667,6000.0,6000.0,402.9641999999999,1350.657799999999
formal_output,B1_WEEKDAY_MILP_R0,2025-10-28,67780.07348600822,22195.827119341564,17978.619966666665,3932.638883333336,1523.0827166666656,41932.605085190575,13920.194465133343,55852.79955032392,1200.0,1200.0,402.9641999999999,1350.657799999999
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-29,70731.70684999999,0.0,0.0,2325.092833333336,3744.5426833333313,56361.510179045,10161.742593466677,66523.25277251168,6000.0,6000.0,343.9100000000003,1226.1374999999998
formal_output,B1_WEEKDAY_MILP_R0,2025-10-29,70327.45160740739,22090.464074074072,17893.275899999997,4441.5890166666695,1259.5954499999984,43471.763520801585,16797.289137908345,60269.05265870993,1200.0,1200.0,343.9100000000003,1226.1374999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-30,71659.54293333334,0.0,0.0,1280.818516666669,8152.5443499999965,57298.49589592833,4977.29748175001,62275.79337767834,6000.0,6000.0,487.6800000000003,1449.1341000000002
formal_output,B1_WEEKDAY_MILP_R0,2025-10-30,73243.71862880659,23374.004362139916,18932.94353333333,1302.782683333336,5317.623383333332,45108.002532833125,5026.310519666677,50134.3130524998,1200.0,1200.0,487.6800000000003,1449.1341000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-31,40710.11496666666,0.0,0.0,945.5871333333342,17751.410399999997,30499.774283495,3502.524815025003,34002.29909852,6000.0,6000.0,529.3899999999999,1152.6360999999997
formal_output,B1_WEEKDAY_MILP_R0,2025-10-31,33295.867107613165,17117.993724279837,13865.574916666666,2956.828166666668,9095.984766666665,17582.15146510224,10837.365721941673,28419.517187043915,1200.0,1200.0,529.3899999999999,1152.6360999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-11-01,40693.844399999994,0.0,0.0,994.8072000000011,19144.6132,30371.759981456664,3196.3134369916706,33568.07341844834,6000.0,6000.0,524.3299999999999,819.4583000000002
