period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-17,63380.990042386824,20747.88627572016,16805.78788333333,3815.6417666666684,3294.415016666664,39300.67887737253,17617.32929650834,56918.008173880866,1200.0,1200.0,478.3199999999997,1339.6560000000009
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-18,67021.48321666667,0.0,0.0,1557.1082833333357,9622.5405,53102.530713390006,6805.852292291675,59908.38300568168,6000.0,6000.0,1360.17,1209.5625
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-18,64040.64487070781,21343.656863374483,17288.362059333333,2230.582616666669,3259.881683333332,39482.64992271442,9093.611108116675,48576.2610308311,1200.0,1200.0,1360.17,1209.5625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-19,66954.94101666666,0.0,0.0,0.0,50853.58861666666,53237.89503770166,0.0,53237.89503770166,6000.0,6000.0,3677.7300000000005,1454.0080000000007
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-19,63226.273676131685,21414.522242798354,17345.763016666668,0.0,43056.16204999999,39299.54770841358,0.0,39299.54770841358,1200.0,1200.0,3677.7300000000005,1454.0080000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-20,39687.20879999999,0.0,0.0,1747.9878833333344,25789.762983333334,29744.833608358334,6661.160012583338,36405.99362094167,6000.0,6000.0,1026.29,1047.5625
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-20,31780.897822839506,14528.18783950617,11767.83215,2499.4672333333338,15874.575666666664,17354.672188218086,10035.622148808337,27390.294337026426,1200.0,1200.0,1026.29,1047.5625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-21,39697.17776666666,0.0,0.0,25750.544233333334,7160.234200000001,29903.937922256664,109790.37677621668,139694.31469847335,6000.0,6000.0,3523.6578,1587.6000000000004
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-21,31864.906032510287,14917.868065843622,12083.473133333333,32987.3836,3730.4069000000004,17408.393195261728,138991.70299955836,156400.09619482007,1200.0,1200.0,3523.6578,1587.6000000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-22,65466.34013333333,0.0,0.0,3354.255666666669,8206.575699999998,51869.97431254833,13378.243471266675,65248.217783815,6000.0,6000.0,595.96,884.625
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-22,62170.29493580246,20337.8374691358,16473.648350000003,3881.7538833333347,1573.8395999999984,38687.65153090388,15601.324767183338,54288.97629808722,1200.0,1200.0,595.96,884.625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-23,67800.78731666667,0.0,0.0,2256.998150000002,7941.169166666664,53678.45026482499,9975.729094825008,63654.17935965,6000.0,6000.0,539.5100000000002,920.3952999999992
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-23,64693.67324588476,21425.73699588477,17354.846966666664,3659.0848000000024,2165.251716666665,40097.44534631894,16244.218706000009,56341.66405231895,1200.0,1200.0,539.5100000000002,920.3952999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-24,68641.16605,0.0,0.0,1891.928250000002,9469.869099999998,54761.081836408324,6920.523795241673,61681.605631649996,6000.0,6000.0,566.0200000000004,1128.4200999999994
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-24,66311.6763090535,21835.81960905349,17687.013883333333,2822.434733333334,3922.0801166666647,41415.27786213752,9099.875187375002,50515.15304951252,1200.0,1200.0,566.0200000000004,1128.4200999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-25,68049.97404999999,0.0,0.0,1790.708233333336,9505.23348333333,54031.11867374333,7224.018067908344,61255.13674165167,6000.0,6000.0,639.8599999999997,774.0568999999996
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-25,65033.745099999986,21333.333333333332,17280.0,2241.230033333335,2886.192999999997,40285.72309344666,9363.898934033341,49649.62202748,1200.0,1200.0,639.8599999999997,774.0568999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-26,68077.0303,0.0,0.0,0.0,50382.786799999994,53979.10748463833,0.0,53979.10748463833,6000.0,6000.0,3606.4587000000006,1796.0487000000003
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-26,64562.80269279835,21459.765576131686,17382.410116666666,0.0,42791.20373333333,40138.761712251915,0.0,40138.761712251915,1200.0,1200.0,3606.4587000000006,1796.0487000000003
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-27,39384.360100000005,0.0,0.0,2496.943316666668,24080.000516666667,29532.340641511666,9629.386746783339,39161.727388295,6000.0,6000.0,818.29,1881.0007000000005
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-27,31541.436113580243,14861.803580246913,12038.0609,4260.892433333334,15177.282966666668,17063.947035633144,16915.489496541668,33979.43653217481,1200.0,1200.0,818.29,1881.0007000000005
