run_id,question_id,model_id,baseline_id,split,period,metric,value,unit,direction,sample_count,status,notes
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.bias,-56.13450627240143,kW,min,4464,POSTHOC_EVALUATION_ONLY,mean(predicted-actual)
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.max_absolute_error,3886.2477000000003,kW,min,4464,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.error_p50,167.7198000000003,kW,min,4464,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.error_p90,2527.12303,kW,min,4464,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.error_p95,2783.865135,kW,min,4464,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.error_p99,3441.786129999999,kW,min,4464,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.sample_count,4464.0,count,descriptive,4464,POSTHOC_EVALUATION_ONLY,finite actual/predicted pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.valid_coverage,1.0,ratio,descriptive,4464,POSTHOC_EVALUATION_ONLY,finite pairs / requested pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.peak_threshold_p90,6590.1915,kW,descriptive,4464,POSTHOC_EVALUATION_ONLY,global formal-output actual-load 90th percentile; posthoc only
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.peak_MAE,828.0335733333334,kW,min,4464,POSTHOC_EVALUATION_ONLY,MAE where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.peak_max_absolute_error,3745.24,kW,min,4464,POSTHOC_EVALUATION_ONLY,max absolute error where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.peak_sample_count,150.0,count,descriptive,4464,POSTHOC_EVALUATION_ONLY,samples where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,pv.all_day_MAE,186.4059520609319,kW,min,4464,POSTHOC_EVALUATION_ONLY,mean(abs(predicted-actual)) over all intervals
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,pv.all_day_RMSE,385.01307965625085,kW,min,4464,POSTHOC_EVALUATION_ONLY,RMSE over all intervals
