template_date,decision_time,plan_version,start_slot,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-02-28,2025-02-28 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009108300000661984,3980.282628096667,223,260,37
2025-02-28,2025-03-01 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00042130000656470656,141.17417050000006,7,8,1
2025-03-01,2025-03-01 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04065540002193302,16463.454639543426,,,
2025-03-01,2025-03-01 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04254110000329092,7484.282823452246,655,764,109
2025-03-01,2025-03-01 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05393500000354834,7361.811231039496,439,512,73
2025-03-01,2025-03-01 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012565799988806248,4054.742149322494,223,260,37
2025-03-01,2025-03-02 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007883399986894801,0.0,7,8,1
2025-03-02,2025-03-02 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027231499989284202,56430.21873891665,,,
2025-03-02,2025-03-02 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05112170000211336,43540.605678518084,655,764,109
2025-03-02,2025-03-02 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05856090001179837,33163.01176821207,439,512,73
2025-03-02,2025-03-02 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008793599990895018,12843.105279020334,223,260,37
2025-03-02,2025-03-03 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00035340001340955496,243.68299900000005,7,8,1
2025-03-03,2025-03-03 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.011610599991399795,58010.55112944833,,,
2025-03-03,2025-03-03 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04949010000564158,42475.21091616472,655,764,109
2025-03-03,2025-03-03 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02962630000547506,31609.24501793351,439,512,73
2025-03-03,2025-03-03 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01563259999966249,12935.305405164332,223,260,37
2025-03-03,2025-03-04 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00746719999006018,180.33926975899934,7,8,1
2025-03-04,2025-03-04 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.018958200002089143,50757.03540176985,,,
2025-03-04,2025-03-04 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03226300000096671,37624.562119557566,655,764,109
2025-03-04,2025-03-04 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.042656000005081296,28467.690472505277,439,512,73
2025-03-04,2025-03-04 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015402500022901222,12985.229956291001,223,260,37
2025-03-04,2025-03-05 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00027970000519417226,239.393418,7,8,1
2025-03-05,2025-03-05 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04371790000004694,53931.97275850574,,,
2025-03-05,2025-03-05 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022341699979733676,38182.79796837779,655,764,109
2025-03-05,2025-03-05 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023948299989569932,29164.44663446435,439,512,73
2025-03-05,2025-03-05 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008977399993455037,12765.150075904668,223,260,37
2025-03-05,2025-03-06 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028130001737736166,265.85008389999996,7,8,1
2025-03-06,2025-03-06 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.026838599995244294,48979.57101454527,,,
2025-03-06,2025-03-06 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.030907100008334965,34586.47996152152,655,764,109
2025-03-06,2025-03-06 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0463420000160113,28530.35392397222,439,512,73
2025-03-06,2025-03-06 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01558360000490211,12621.462402522668,223,260,37
2025-03-06,2025-03-07 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0005640000163111836,133.096635,7,8,1
