hypothesis,issue_hour,period,month,n,MAE_kw,RMSE_kw,bias_kw
H0_hour_start,12,afternoon_14_18,01,124,1410.4638000000002,1465.1376486628915,-1410.4638000000002
H0_hour_start,12,afternoon_14_18,02,112,1504.6983375,1571.7926456089358,-1504.6983375
H0_hour_start,12,afternoon_14_18,03,124,1498.7613806451614,1584.5671637874852,-1493.332435483871
H0_hour_start,12,afternoon_14_18,04,120,1481.957779166667,1583.2392507650297,-1480.1596791666668
H0_hour_start,12,afternoon_14_18,05,124,1345.9710790322583,1462.7634206057205,-1326.2207516129035
H0_hour_start,12,afternoon_14_18,06,120,1097.9765416666667,1218.9337221115056,-1072.2654716666666
H0_hour_start,12,afternoon_14_18,07,124,1312.251120967742,1412.4400817020567,-1301.9151612903227
H0_hour_start,12,afternoon_14_18,08,124,1507.4311435483874,1628.6372866419094,-1495.588262903226
H0_hour_start,12,afternoon_14_18,09,120,1587.1227766666668,1671.4530988986958,-1587.1227766666668
H0_hour_start,12,afternoon_14_18,10,124,1712.0152588709677,1782.215661396254,-1712.0152588709677
H0_hour_start,12,afternoon_14_18,11,120,1601.3108974999998,1660.7444953385325,-1601.3108974999998
H0_hour_start,12,afternoon_14_18,12,124,1378.7968209677422,1432.4011210869774,-1378.7968209677422
H0_hour_start,12,afternoon_14_18,ALL,1460,1452.928772671233,1545.967701256237,-1446.645549109589
H0_hour_start,12,morning_06_10,01,120,810.0056425,1148.0045340921504,810.0056425
H0_hour_start,12,morning_06_10,02,112,1023.6980017857142,1350.783030537754,1018.4197160714285
H0_hour_start,12,morning_06_10,03,124,1309.7890330645162,1596.812398830552,1291.4854685483872
H0_hour_start,12,morning_06_10,04,120,1435.336931666667,1615.2984380580194,1379.98611
H0_hour_start,12,morning_06_10,05,124,1458.7800911290321,1580.0674492679805,1403.538925
H0_hour_start,12,morning_06_10,06,120,1366.24981,1507.166073394384,1354.4464333333333
H0_hour_start,12,morning_06_10,07,124,1422.380194354839,1532.8406937700786,1395.3361330645162
H0_hour_start,12,morning_06_10,08,124,1496.7480395161288,1654.1571317607218,1476.8569717741934
H0_hour_start,12,morning_06_10,09,120,1497.7856075000002,1772.7355955727376,1456.6929725
H0_hour_start,12,morning_06_10,10,124,1256.9535362903227,1590.9121883887228,1256.9535362903227
H0_hour_start,12,morning_06_10,11,120,1039.476895,1425.3704282020144,1039.476895
H0_hour_start,12,morning_06_10,12,124,775.3402532258065,1122.5607804917006,775.3402532258065
H0_hour_start,12,morning_06_10,ALL,1456,1242.9915280906596,1504.4827612144218,1223.4034164148352
H0_hour_start,12,night_18_06,01,367,11.120435967302452,48.76656313157831,-11.120435967302452
H0_hour_start,12,night_18_06,02,336,55.91540178571429,203.0273172264722,-55.91540178571429
H0_hour_start,12,night_18_06,03,372,119.88518306451614,414.9160555128262,-119.88518306451614
H0_hour_start,12,night_18_06,04,360,191.00257666666664,538.7092276182564,-191.00257666666664
H0_hour_start,12,night_18_06,05,372,225.37567741935487,571.5564784046626,-225.37567741935487
H0_hour_start,12,night_18_06,06,360,195.8329161111111,483.33504072561016,-195.2522916666667
H0_hour_start,12,night_18_06,07,372,217.03127392473118,542.5831473269199,-217.0307997311828
H0_hour_start,12,night_18_06,08,372,217.63334865591398,579.6052205519503,-217.63334865591398
H0_hour_start,12,night_18_06,09,360,152.94046,497.73937248006365,-152.94046
H0_hour_start,12,night_18_06,10,372,86.85725806451612,312.9856327742292,-86.85725806451612
H0_hour_start,12,night_18_06,11,360,22.79864583333333,90.27995302374026,-22.79864583333333
H0_hour_start,12,night_18_06,12,372,0.5792338709677419,4.268782618068363,-0.5792338709677419
H0_hour_start,12,night_18_06,ALL,4375,125.26955090285715,414.5688885082634,-125.2217334857143
H0_hour_start,12,noon_10_14,01,121,960.014661983471,1177.9366534737783,558.9640719008265
H0_hour_start,12,noon_10_14,02,112,1025.5068821428572,1298.325871679875,505.3555964285715
H0_hour_start,12,noon_10_14,03,124,1095.5874411290324,1404.150722045565,304.11366532258074
H0_hour_start,12,noon_10_14,04,120,1323.4180808333335,1616.1815572705675,478.7969841666666
H0_hour_start,12,noon_10_14,05,124,1251.7420096774197,1624.3668097251589,-127.98144032258064
H0_hour_start,12,noon_10_14,06,120,1205.7981250000003,1521.9530894561915,504.85566666666665
H0_hour_start,12,noon_10_14,07,124,1109.1988580645161,1445.188049120861,142.96581129032253
H0_hour_start,12,noon_10_14,08,124,1244.0054870967742,1579.955125179187,163.59206774193555
H0_hour_start,12,noon_10_14,09,120,1423.2104583333335,1758.3791914366627,590.1019166666667
H0_hour_start,12,noon_10_14,10,124,1298.0792362903228,1599.5216834325563,555.7851943548386
H0_hour_start,12,noon_10_14,11,120,1153.0966308333334,1419.7407670580642,565.7443191666666
H0_hour_start,12,noon_10_14,12,124,988.9597967741935,1261.7803433918223,360.9256887096774
H0_hour_start,12,noon_10_14,ALL,1457,1173.740817501716,1485.6558357249999,380.5765739876458
H0_hour_start,18,ALL,01,726,538.5349776859505,925.1590402002194,-42.84566997245179
H0_hour_start,18,ALL,02,672,630.957415625,1019.1736251234397,-16.332735267857142
H0_hour_start,18,ALL,03,744,635.9233051075269,1013.699857304946,-7.628637903225789
H0_hour_start,18,ALL,04,720,850.5675294444444,1275.4749989957184,-93.30118055555559
H0_hour_start,18,ALL,05,744,770.9782840053764,1142.3792437853806,-74.95232997311831
H0_hour_start,18,ALL,06,720,699.5815323611112,1039.9206448266314,-82.03975875
H0_hour_start,18,ALL,07,744,790.603138844086,1155.1247182147658,-15.050840725806465
H0_hour_start,18,ALL,08,744,828.6306416666666,1242.6452588353598,-83.4104669354839
H0_hour_start,18,ALL,09,720,839.9409525,1290.7112272222494,-73.97603166666667
H0_hour_start,18,ALL,10,744,786.1014099462366,1257.4127062273967,-46.81676424731184
H0_hour_start,18,ALL,11,720,657.2565406944444,1083.8290708791758,-66.54272152777777
H0_hour_start,18,ALL,12,744,526.3849364247311,921.6279844147582,-39.470322983870965
H0_hour_start,18,ALL,ALL,8742,713.4527400366048,1121.7343856837135,-53.57968188057653
H0_hour_start,18,afternoon_14_18,01,120,1444.3123291666668,1562.6585342958542,-1432.2947658333335
H0_hour_start,18,afternoon_14_18,02,112,1556.7009071428572,1696.1294473545668,-1547.0379607142859
H0_hour_start,18,afternoon_14_18,03,124,1339.0166112903225,1523.1383259168713,-1271.8474016129032
H0_hour_start,18,afternoon_14_18,04,120,1867.2562508333335,2036.6519057661421,-1840.538589166667
H0_hour_start,18,afternoon_14_18,05,124,1497.8602314516127,1717.277614728121,-1436.2830749999998
H0_hour_start,18,afternoon_14_18,06,120,1395.6955500000001,1560.2167286495528,-1290.4196783333332
H0_hour_start,18,afternoon_14_18,07,124,1487.2656629032258,1676.375511852035,-1432.4196596774193
H0_hour_start,18,afternoon_14_18,08,124,1741.836727419355,1938.7119123944594,-1698.5703919354842
H0_hour_start,18,afternoon_14_18,09,120,1872.1840825,2049.324598480399,-1845.4999008333334
H0_hour_start,18,afternoon_14_18,10,124,1884.3050677419358,2075.709538101479,-1851.236362903226
H0_hour_start,18,afternoon_14_18,11,120,1760.6776375000002,1853.5490472192794,-1755.7825508333335
H0_hour_start,18,afternoon_14_18,12,124,1475.5336379032256,1610.9250721009957,-1456.8483975806448
H0_hour_start,18,afternoon_14_18,ALL,1456,1609.8674642857143,1786.1824571425273,-1570.9244269230767
H0_hour_start,18,morning_06_10,01,120,837.5708958333332,1169.1078396683447,837.5708958333332
H0_hour_start,18,morning_06_10,02,112,1064.6428607142857,1356.5728991561696,1064.6428607142857
H0_hour_start,18,morning_06_10,03,124,1148.2441548387096,1394.4633286523426,1148.2441548387096
H0_hour_start,18,morning_06_10,04,120,1465.9163583333332,1636.7503145996122,1465.9163583333332
H0_hour_start,18,morning_06_10,05,124,1408.500093548387,1515.4972067222436,1405.0641903225803
H0_hour_start,18,morning_06_10,06,120,1229.8080291666665,1323.7307580894994,1228.4168741666665
H0_hour_start,18,morning_06_10,07,124,1412.6752508064517,1504.1640762880663,1412.6752508064517
H0_hour_start,18,morning_06_10,08,124,1511.2609370967741,1663.1467834263171,1511.2609370967741
H0_hour_start,18,morning_06_10,09,120,1507.6874083333335,1750.2629146291636,1507.6874083333335
H0_hour_start,18,morning_06_10,10,124,1293.8060637096776,1595.482452443769,1293.8060637096776
H0_hour_start,18,morning_06_10,11,120,997.8456991666666,1351.0856228245225,997.8456991666666
H0_hour_start,18,morning_06_10,12,124,798.5287258064517,1145.9753945838206,798.5287258064517
H0_hour_start,18,morning_06_10,ALL,1456,1224.5558346840658,1463.0266480285188,1224.1485609203296
H0_hour_start,18,night_18_06,01,366,11.142725409836066,48.83289315243666,-11.142725409836066
H0_hour_start,18,night_18_06,02,336,55.91540178571429,203.0273172264722,-55.91540178571429
H0_hour_start,18,night_18_06,03,372,119.82408037634409,414.71476347107415,-119.82408037634409
H0_hour_start,18,night_18_06,04,360,191.52993833333338,541.5652787083903,-191.52993833333338
H0_hour_start,18,night_18_06,05,372,226.66112231182797,579.0840456365563,-226.66112231182797
H0_hour_start,18,night_18_06,06,360,200.5563058333333,501.3693594898926,-199.98128416666668
H0_hour_start,18,night_18_06,07,372,214.7810217741936,537.3398130730643,-214.78062392473117
H0_hour_start,18,night_18_06,08,372,221.8158516129032,596.2370417468456,-221.8158516129032
H0_hour_start,18,night_18_06,09,360,153.31283833333333,499.3801685286957,-153.31283833333333
H0_hour_start,18,night_18_06,10,372,86.85725806451612,312.9856327742292,-86.85725806451612
H0_hour_start,18,night_18_06,11,360,22.79864583333333,90.27995302374026,-22.79864583333333
H0_hour_start,18,night_18_06,12,372,0.5792338709677419,4.268782618068363,-0.5792338709677419
H0_hour_start,18,night_18_06,ALL,4374,126.02878417924097,419.1192531496983,-125.98142345679011
H0_hour_start,18,noon_10_14,01,120,942.2680775,1167.186119671199,369.49287916666674
H0_hour_start,18,noon_10_14,02,112,996.6545205357145,1179.6117417840087,552.1448937500002
H0_hour_start,18,noon_10_14,03,124,968.8068233870969,1176.8946699874127,437.30366048387094
H0_hour_start,18,noon_10_14,04,120,1195.6427525,1433.261109312776,389.4049624999999
H0_hour_start,18,noon_10_14,05,124,1039.5260120967741,1256.3410502042493,261.4882717741935
H0_hour_start,18,noon_10_14,06,120,970.3166975,1244.1690484189805,169.70810416666663
H0_hour_start,18,noon_10_14,07,124,1199.3348540322577,1437.6828713285697,573.7812362903226
H0_hour_start,18,noon_10_14,08,124,1053.238630645161,1293.77219923038,352.29420806451583
H0_hour_start,18,noon_10_14,09,120,1199.8357091666664,1408.6587926262073,353.8948175
H0_hour_start,18,noon_10_14,10,124,1277.925554032258,1529.2174211347249,537.1014879032258
H0_hour_start,18,noon_10_14,11,120,1116.61997,1327.623775356698,427.07645999999994
H0_hour_start,18,noon_10_14,12,124,882.5095532258065,1089.9518289852067,423.2354354838709
H0_hour_start,18,noon_10_14,ALL,1456,1070.6274918269232,1302.4254218067606,403.54040391483517
H1_point,0,ALL,01,743,123.06777765814269,268.2145876015093,7.901048452220723
H1_point,0,ALL,02,672,160.70162455357143,325.7767768867438,-69.84498497023809
H1_point,0,ALL,03,744,197.26826908602152,401.18790446392364,-75.83019731182794
H1_point,0,ALL,04,720,200.39923958333333,381.95919343535843,-10.173674305555556
H1_point,0,ALL,05,744,184.5262716397849,348.3356790314061,10.971910349462357
H1_point,0,ALL,06,720,191.82901444444448,364.01628447909457,-26.252730000000014
H1_point,0,ALL,07,744,205.7780469086021,393.1721279685227,9.397842069892489
H1_point,0,ALL,08,744,233.0744280913978,480.01574096826226,-80.84999099462367
H1_point,0,ALL,09,720,204.3562069444444,405.68489012563754,3.3086091666666726
H1_point,0,ALL,10,744,222.3874883064516,460.3160516604159,-88.99152782258065
H1_point,0,ALL,11,720,134.3904772222222,275.6499810394086,4.074621944444448
H1_point,0,ALL,12,744,116.33602741935485,260.3370501453086,7.301502419354832
H1_point,0,ALL,ALL,8759,181.33399719146024,370.593803233205,-25.59296481333486
H1_point,0,afternoon_14_18,01,124,277.60339596774196,403.02546150231234,78.77821370967744
H1_point,0,afternoon_14_18,02,112,333.0938107142857,452.2114456593986,-143.57756964285713
H1_point,0,afternoon_14_18,03,124,411.20775241935485,565.3576514512602,-218.76090241935484
H1_point,0,afternoon_14_18,04,120,427.00473666666653,559.0842933262924,66.39775999999996
H1_point,0,afternoon_14_18,05,124,378.8013370967742,489.3926968944936,35.87713387096774
H1_point,0,afternoon_14_18,06,120,412.1148275000001,532.5820089625427,-31.48017750000005
H1_point,0,afternoon_14_18,07,124,486.5843330645161,645.1096569244485,-9.785197580645177
H1_point,0,afternoon_14_18,08,124,576.294245967742,783.5993219066914,-284.6433814516129
H1_point,0,afternoon_14_18,09,120,453.8298766666667,581.3635488916889,-91.65888833333335
H1_point,0,afternoon_14_18,10,124,482.9631750000001,646.7911016662162,-190.42429596774193
H1_point,0,afternoon_14_18,11,120,264.13119166666667,370.38742052778986,14.563808333333345
H1_point,0,afternoon_14_18,12,124,202.49129596774193,318.14403363891256,19.38648951612904
H1_point,0,afternoon_14_18,ALL,1460,392.6941295205479,544.6583391253877,-62.85541650684932
H1_point,0,morning_06_10,01,124,81.76170645161291,155.20151602901836,-19.170387096774178
H1_point,0,morning_06_10,02,112,118.34761875000004,203.97988721586816,-59.51355089285713
H1_point,0,morning_06_10,03,124,145.40971532258064,237.40421735364328,-7.240723387096735
H1_point,0,morning_06_10,04,120,187.336315,283.8794300641806,-53.27563666666665
H1_point,0,morning_06_10,05,124,204.38322499999998,290.80877182496334,-15.94024274193549
H1_point,0,morning_06_10,06,120,211.37710416666673,297.4383468372019,-73.12564750000004
H1_point,0,morning_06_10,07,124,184.93887096774193,255.25761109594472,-19.54804193548382
H1_point,0,morning_06_10,08,124,156.9419991935484,242.07855942062207,7.361492741935482
H1_point,0,morning_06_10,09,120,185.95853583333331,297.9829414275974,63.09297916666666
